t	x_hip	y_hip	x_knee	y_knee	x_ankle	y_ankle	x_toe	y_toe
0,00E+00	2,39E+07	3,07E+08	9,15E+07	1,83E+08	1,44E+08	3,83E+07	1,86E+08	2,09E+07
3,33E+04	4,42E+07	3,07E+08	1,11E+08	1,83E+08	1,50E+08	3,34E+07	1,93E+08	1,42E+07
6,67E+04	6,57E+07	3,08E+08	1,27E+08	1,83E+08	1,59E+08	3,34E+07	1,97E+08	9,58E+06
1,00E+05	8,48E+07	3,13E+08	1,47E+08	1,87E+08	1,63E+08	3,37E+07	1,99E+08	6,49E+06
1,33E+05	9,88E+07	3,20E+08	1,58E+08	1,88E+08	1,66E+08	3,41E+07	2,00E+08	5,10E+06
1,67E+05	1,15E+08	3,19E+08	1,64E+08	1,88E+08	1,67E+08	3,43E+07	2,01E+08	4,94E+06
2,00E+05	1,30E+08	3,21E+08	1,72E+08	1,88E+08	1,68E+08	3,47E+07	2,01E+08	4,93E+06
2,33E+05	1,44E+08	3,23E+08	1,76E+08	1,88E+08	1,69E+08	3,50E+07	2,01E+08	4,76E+06
2,67E+05	1,56E+08	3,24E+08	1,83E+08	1,88E+08	1,69E+08	3,53E+07	2,02E+08	4,70E+06
3,00E+05	1,68E+08	3,24E+08	1,89E+08	1,87E+08	1,70E+08	3,53E+07	2,01E+08	4,38E+06
3,33E+05	1,81E+08	3,23E+08	1,94E+08	1,87E+08	1,72E+08	3,49E+07	2,01E+08	4,08E+06
3,67E+05	1,94E+08	3,22E+08	2,00E+08	1,86E+08	1,72E+08	3,66E+07	2,01E+08	3,64E+06
4,00E+05	2,06E+08	3,20E+08	2,08E+08	1,85E+08	1,72E+08	3,54E+07	2,01E+08	2,77E+06
4,33E+05	2,18E+08	3,19E+08	2,13E+08	1,83E+08	1,72E+08	3,53E+07	2,00E+08	2,03E+06
4,67E+05	2,32E+08	3,17E+08	2,22E+08	1,82E+08	1,75E+08	3,57E+07	2,01E+08	1,87E+06
5,00E+05	2,46E+08	3,15E+08	2,30E+08	1,81E+08	1,77E+08	3,83E+07	2,02E+08	2,18E+06
5,33E+05	2,61E+08	3,12E+08	2,41E+08	1,80E+08	1,77E+08	3,85E+07	2,02E+08	1,87E+06
5,67E+05	2,77E+08	3,10E+08	2,54E+08	1,77E+08	1,80E+08	4,14E+07	2,01E+08	1,78E+06
6,00E+05	2,96E+08	3,08E+08	2,68E+08	1,76E+08	1,84E+08	4,54E+07	2,04E+08	2,81E+06
6,33E+05	3,16E+08	3,06E+08	2,89E+08	1,75E+08	1,92E+08	5,11E+07	2,04E+08	4,67E+06
6,67E+05	3,36E+08	3,05E+08	3,13E+08	1,73E+08	2,05E+08	5,88E+07	2,08E+08	8,44E+06
7,00E+05	3,55E+08	3,05E+08	3,42E+08	1,70E+08	2,25E+08	6,77E+07	2,16E+08	1,71E+07
7,33E+05	3,71E+08	3,05E+08	3,73E+08	1,69E+08	2,51E+08	7,75E+07	2,33E+08	2,91E+07
7,67E+05	3,85E+08	3,07E+08	4,05E+08	1,73E+08	2,82E+08	8,62E+07	2,62E+08	4,06E+07
8,00E+05	3,97E+08	3,10E+08	4,34E+08	1,78E+08	3,14E+08	9,22E+07	2,98E+08	4,57E+07
8,33E+05	4,11E+08	3,13E+08	4,61E+08	1,85E+08	3,49E+08	9,25E+07	3,36E+08	4,39E+07
8,67E+05	4,27E+08	3,17E+08	4,87E+08	1,92E+08	3,83E+08	8,93E+07	3,78E+08	3,96E+07
9,00E+05	4,43E+08	3,19E+08	5,09E+08	1,98E+08	4,19E+08	8,17E+07	4,24E+08	3,27E+07
9,33E+05	4,59E+08	3,21E+08	5,29E+08	2,03E+08	4,58E+08	7,32E+07	4,70E+08	2,51E+07
9,67E+05	4,75E+08	3,22E+08	5,47E+08	2,05E+08	4,97E+08	6,14E+07	5,20E+08	1,84E+07
1,00E+06	4,89E+08	3,20E+08	5,62E+08	2,04E+08	5,39E+08	5,21E+07	5,70E+08	1,51E+07
1,03E+06	5,04E+08	3,17E+08	5,75E+08	2,00E+08	5,79E+08	4,65E+07	6,17E+08	1,68E+07
1,07E+06	5,19E+08	3,14E+08	5,86E+08	1,94E+08	6,14E+08	4,40E+07	6,56E+08	2,16E+07
1,10E+06	5,35E+08	3,10E+08	5,96E+08	1,88E+08	6,42E+08	4,35E+07	6,87E+08	2,63E+07
1,13E+06	5,53E+08	3,08E+08	6,09E+08	1,84E+08	6,59E+08	4,13E+07	7,05E+08	2,49E+07
1,17E+06	5,72E+08	3,06E+08	6,28E+08	1,83E+08	6,65E+08	3,51E+07	7,10E+08	1,68E+07
